Orijinal,Stem (Gövde),Lemma (Kök)
21/1/2017,21/1/2017,21/1/2017
tarihli,tarihli,tarih
6771,6771,6771
sayılı,sayılı,sayılı
Kanunun,kanunun,Kanun
16,16,16
ncı,ncı,ncı
maddesiyle,maddesiyl,madde
",",",",","
fıkrada,fıkrada,fıkra
yer,yer,yermek
alan,alan,ala
“,“,“
",",",",","
sıkıyönetim,sıkıyönetim,sıkıyönetim
”,”,”
ibaresi,ibaresi,ibare
madde,madd,madde
metninden,metninden,metin
çıkarılmıştır,çıkarılmıştır,çıkarmak
.,.,.
II,ii,ii
.,.,.
Zorla,zorla,zorlamak
çalıştırma,çalıştırma,çalışmak
yasağı,yasağı,yasak
MADDE,madd,madde
18-,18-,18-
kimse,kims,kim
zorla,zorla,zorlamak
çalıştırılamaz,çalıştırılamaz,çalışmak
.,.,.
Angarya,angarya,angarya
yasaktır,yasaktır,Yasak
.,.,.
Şekil,şekil,şekil
şartları,şartları,şart
kanunla,kanunla,Kanun
düzenlenmek,düzenlenmek,düzmek
üzere,üzere,Üzer
hükümlülük,hükümlülük,hüküm
tutukluluk,tutukluluk,tutuklu
süreleri,süreleri,süre
içindeki,içindeki,iç
çalıştırmalar,çalıştırmalar,çalışmak
;,;,;
olağanüstü,olağanüstü,olağanüstü
hallerde,hallerd,hal
vatandaşlardan,vatandaşlardan,vatandaş
istenecek,istenecek,istemek
hizmetler,hizmetl,hizmet
;,;,;
ülke,ülke,Ülke
ihtiyaçlarının,ihtiyaçlarının,ihtiyaç
zorunlu,zorunlu,zorunlu
kıldığı,kıldığı,kılmak
alanlarda,alanlarda,alan
öngörülen,öngörülen,öngörmek
vatandaşlık,vatandaşlık,vatandaş
ödevi,ödevi,ödev
niteliğindeki,niteliğindeki,nitelik
beden,beden,beden
fikir,fikir,fikir
çalışmaları,çalışmaları,çalışmak
",",",",","
zorla,zorla,zorlamak
çalıştırma,çalıştırma,çalışmak
sayılmaz,sayılmaz,saymak
.,.,.
III,iii,iii
.,.,.
Kişi,kişi,kişi
hürriyeti,hürriyeti,hürriyet
güvenliği,güvenliği,güvenlik
MADDE,madd,madde
19-,19-,19-
Herkes,herk,herkes
",",",",","
kişi,kişi,kişi
hürriyeti,hürriyeti,hürriyet
güvenliğine,güvenliğin,güvenlik
sahiptir,sahiptir,sahip
.,.,.
Şekil,şekil,şekil
şartları,şartları,şart
kanunda,kanunda,Kanun
gösterilen,gösterilen,göstermek
:,:,:
Mahkemelerce,mahkemelerc,mahkeme
verilmiş,verilmiş,verilmiş
hürriyeti,hürriyeti,hürriyet
kısıtlayıcı,kısıtlayıcı,kısıtlamak
cezaların,cezaların,ceza
güvenlik,güvenlik,güvenlik
tedbirlerinin,tedbirlerinin,tedbir
yerine,yerin,yerine
getirilmesi,getirilmesi,getirmek
;,;,;
bir,bir,bir
mahkeme,mahkem,Mahke
kararının,kararının,karar
kanunda,kanunda,Kanun
öngörülen,öngörülen,öngörmek
bir,bir,bir
yükümlülüğün,yükümlülüğün,yüküm
gereği,gereği,gerek
olarak,olarak,olarak
ilgilinin,ilgilinin,ilgi
yakalanması,yakalanması,yaka
tutuklanması,tutuklanması,tutuk
;,;,;
bir,bir,bir
küçüğün,küçüğün,küçük
gözetim,gözetim,gözetim
altında,altında,altı
ıslahı,ıslahı,ıslah
yetkili,yetkili,yetkili
merci,merci,Mer
önüne,önüne,ön
çıkarılması,çıkarılması,çıkarmak
verilen,verilen,veri
bir,bir,bir
kararın,kararın,karar
yerine,yerin,yerine
getirilmesi,getirilmesi,getirmek
;,;,;
toplum,toplum,top
tehlike,tehlik,tehlike
teşkil,teşkil,teşkil
eden,eden,E
bir,bir,bir
akıl,akıl,akıl
hastası,hastası,hastası
",",",",","
uyuşturucu,uyuşturucu,uyuşturucu
madde,madd,madde
alkol,alkol,alkol
tutkunu,tutkunu,Tutkun
",",",",","
bir,bir,bir
serseri,serseri,serseri
hastalık,hastalık,hastalık
yayabilecek,yayabilecek,yaymak
bir,bir,bir
kişinin,kişinin,kişi
bir,bir,bir
müessesede,müessesed,müessese
tedavi,tedavi,tedavi
",",",",","
eğitim,eğitim,eğitim
ıslahı,ıslahı,ıslah
kanunda,kanunda,Kanun
belirtilen,belirtilen,belirti
esaslara,esaslara,esas
uygun,uygun,Uygun
olarak,olarak,olarak
alınan,alınan,alınan
tedbirin,tedbirin,tedbir
yerine,yerin,yerine
getirilmesi,getirilmesi,getirmek
;,;,;
usulüne,usulün,usul
aykırı,aykırı,aykırı
şekilde,şekild,şekil
ülkeye,ülkey,Ülke
girmek,girmek,girmek
isteyen,isteyen,istemek
giren,giren,giren
",",",",","
hakkında,hakkında,Hak
sınır,sınır,sınır
dışı,dışı,dış
etme,etm,etmek
yahut,yahut,yahut
geri,geri,geri
verme,verm,vermek
kararı,kararı,karar
verilen,verilen,veri
bir,bir,bir
kişinin,kişinin,kişi
yakalanması,yakalanması,yaka
tutuklanması,tutuklanması,tutuk
;,;,;
halleri,halleri,hal
dışında,dışında,dış
kimse,kims,kim
hürriyetinden,hürriyetinden,hürriyet
yoksun,yoksun,yoksun
bırakılamaz,bırakılamaz,bırakmak
.,.,.
Suçluluğu,suçluluğu,suçlu
hakkında,hakkında,Hak
kuvvetli,kuvvetli,Kuvvet
belirti,belirti,belirti
bulunan,bulunan,bulmak
kişiler,kişil,kişi
",",",",","
ancak,ancak,ancak
kaçmalarını,kaçmalarını,kaçmak
",",",",","
delillerin,delillerin,delil
yokedilmesini,yokedilmesini,yoketmek
değiştirilmesini,değiştirilmesini,değişmek
önlemek,önlemek,önlemek
maksadıyla,maksadıyla,maksat
bunlar,bunlar,bu
tutuklamayı,tutuklamayı,tutuklamak
zorunlu,zorunlu,zorunlu
kılan,kılan,kılan
kanunda,kanunda,Kanun
gösterilen,gösterilen,göstermek
diğer,diğer,diğer
hallerde,hallerd,hal
hâkim,hâkim,hâkim
kararıyla,kararıyla,karar
tutuklanabilir,tutuklanabilir,tutuk
.,.,.
Hâkim,hâkim,hâkim
kararı,kararı,karar
olmadan,olmadan,olmak
yakalama,yakalama,yakalamak
",",",",","
ancak,ancak,ancak
suçüstü,suçüstü,suçüstü
halinde,halind,hal
gecikmesinde,gecikmesind,gecikmek
sakınca,sakınca,sakınca
bulunan,bulunan,bulmak
hallerde,hallerd,hal
yapılabilir,yapılabilir,yapmak
;,;,;
bunun,bunun,bu
şartlarını,şartlarını,şart
kanun,kanun,Kanun
gösterir,gösterir,göstermek
.,.,.
Yakalanan,yakalanan,yaka
tutuklanan,tutuklanan,tutuk
kişilere,kişiler,kişi
",",",",","
yakalama,yakalama,yakalamak
tutuklama,tutuklama,tutuklamak
sebepleri,sebepleri,sebep
haklarındaki,haklarındaki,Hak
iddialar,iddialar,iddia
herhalde,herhald,herhâlde
yazılı,yazılı,yazılı
bunun,bunun,bu
hemen,hemen,hemen
mümkün,mümkün,mümkün
olmaması,olmaması,olmak
halinde,halind,hal
sözlü,sözlü,söz
olarak,olarak,olarak
derhal,derhal,derhâl
",",",",","
toplu,toplu,top
suçlarda,suçlarda,suç
geç,geç,geçmek
hâkim,hâkim,hâkim
huzuruna,huzuruna,huzur
çıkarılıncaya,çıkarılıncaya,çıkarmak
kadar,kadar,kadar
bildirilir,bildirilir,bildirmek
.,.,.
(,(,(
Değişik,değişik,değişik
birinci,birinci,birinci
cümle,cümle,cümle
:,:,:
3/10/2001-4709/4,3/10/2001-4709/4,3/10/2001-4709/4
md,md,Md
.,.,.
),),)
Yakalanan,yakalanan,yaka
tutuklanan,tutuklanan,tutuk
kişi,kişi,kişi
",",",",","
tutulma,tutulma,tutmak
yerine,yerin,yerine
yakın,yakın,yakı
mahkemeye,mahkemey,mahkeme
gönderilmesi,gönderilmesi,göndermek
gerekli,gerekli,gerekli
süre,süre,süre
hariç,hariç,hariç
geç,geç,geçmek
kırksekiz,kırksekiz,kırksekiz
saat,saat,saat
toplu,toplu,top
olarak,olarak,olarak
işlenen,işlenen,iş
suçlarda,suçlarda,suç
dört,dört,dört
gün,gün,gün
içinde,içind,iç
hâkim,hâkim,hâkim
önüne,önüne,ön
çıkarılır,çıkarılır,çıkarmak
.,.,.
Kimse,kims,kim
",",",",","
süreler,süreler,süre
geçtikten,geçtikten,geçmek
sonra,sonra,sonra
hakim,hakim,hâkim
kararı,kararı,karar
olmaksızın,olmaksızın,olmaksızın
hürriyetinden,hürriyetinden,hürriyet
yoksun,yoksun,yoksun
bırakılamaz,bırakılamaz,bırakmak
.,.,.
süreler,süreler,süre
olağanüstü,olağanüstü,olağanüstü
hal,hal,hal
(,(,(
…,…,…
),),)
(,(,(
1,1,1
),),)
savaş,savaş,savaş
hallerinde,hallerind,hal
uzatılabilir,uzatılabilir,uzatmak
.,.,.
(,(,(
1,1,1
),),)
(,(,(
Değişik,değişik,değişik
fıkra,fıkra,fıkra
:,:,:
3/10/2001-4709/4,3/10/2001-4709/4,3/10/2001-4709/4
md,md,Md
.,.,.
),),)
Kişinin,kişinin,kişi
yakalandığı,yakalandığı,yaka
tutuklandığı,tutuklandığı,tutuk
",",",",","
yakınlarına,yakınlarına,yakın
derhal,derhal,derhâl
bildirilir,bildirilir,bildirmek
.,.,.
Tutuklanan,tutuklanan,tutuk
kişilerin,kişilerin,kişi
",",",",","
makul,makul,Makul
süre,süre,süre
içinde,içind,iç
yargılanmayı,yargılanmayı,yargı
soruşturma,soruşturma,soruşmak
kovuşturma,kovuşturma,kovuşturmak
sırasında,sırasında,sıra
serbest,serbest,serbest
bırakılmayı,bırakılmayı,bırakmak
isteme,istem,İstem
hakları,hakları,Hak
vardır,vardır,varmak
.,.,.
Serbest,serbest,serbest
bırakılma,bırakılma,bırakmak
ilgilinin,ilgilinin,ilgi
yargılama,yargılama,yargılamak
süresince,süresinc,süre
duruşmada,duruşmada,duruşma
hazır,hazır,hazır
bulunmasını,bulunmasını,bulmak
hükmün,hükmün,hüküm
yerine,yerin,yerine
getirilmesini,getirilmesini,getirmek
sağlamak,sağlamak,sağlamak
bir,bir,bir
güvenceye,güvencey,güvence
bağlanabilir,bağlanabilir,bağ
.,.,.
sebeple,sebepl,sebeple
olursa,olursa,Olur
olsun,olsun,olmak
",",",",","
hürriyeti,hürriyeti,hürriyet
kısıtlanan,kısıtlanan,kısıtlamak
kişi,kişi,kişi
",",",",","
kısa,kısa,kısa
sürede,sürede,süre
durumu,durumu,durum
hakkında,hakkında,Hak
karar,karar,kararmak
verilmesini,verilmesini,verilmesini
kısıtlamanın,kısıtlamanın,kısıtlamak
kanuna,kanuna,Kanun
aykırılığı,aykırılığı,aykırı
halinde,halind,hal
hemen,hemen,hemen
serbest,serbest,serbest
bırakılmasını,bırakılmasını,bırakmak
sağlamak,sağlamak,sağlamak
amacıyla,amacıyla,amaç
yetkili,yetkili,yetkili
bir,bir,bir
yargı,yargı,yargı
merciine,merciin,merciine
başvurma,başvurma,başvurmak
hakkına,hakkına,Hak
sahiptir,sahiptir,sahip
.,.,.
(,(,(
Değişik,değişik,değişik
:,:,:
3/10/2001-4709/4,3/10/2001-4709/4,3/10/2001-4709/4
md,md,Md
.,.,.
),),)
esaslar,esaslar,esas
dışında,dışında,dış
bir,bir,bir
işleme,işlem,işlem
tâbi,tâbi,tabi
tutulan,tutulan,tutmak
kişilerin,kişilerin,kişi
uğradıkları,uğradıkları,uğramak
zarar,zarar,zarar
",",",",","
tazminat,tazminat,tazminat
hukukunun,hukukunun,hukuk
genel,genel,genelmek
prensiplerine,prensiplerin,prensip
göre,göre,göre
",",",",","
Devletçe,devletç,devlet
ödenir,ödenir,ödenir
.,.,.
(,(,(
1,1,1
),),)
21/1/2017,21/1/2017,21/1/2017
tarihli,tarihli,tarih
6771,6771,6771
sayılı,sayılı,sayılı
Kanunun,kanunun,Kanun
16,16,16
ncı,ncı,ncı
maddesiyle,maddesiyl,madde
",",",",","
fıkrada,fıkrada,fıkra
yer,yer,yermek
alan,alan,ala
“,“,“
",",",",","
sıkıyönetim,sıkıyönetim,sıkıyönetim
”,”,”
ibaresi,ibaresi,ibare
madde,madd,madde
metninden,metninden,metin
çıkarılmıştır,çıkarılmıştır,çıkarmak
.,.,.
IV,iv,ivmek
.,.,.
Özel,özel,özel
hayatın,hayatın,hayat
gizliliği,gizliliği,giz
korunması,korunması,korunması
A.,a.,A
Özel,özel,özel
hayatın,hayatın,hayat
gizliliği,gizliliği,giz
MADDE,madd,madde
20-,20-,20-
Herkes,herk,herkes
",",",",","
özel,özel,özel
hayatına,hayatına,hayat
aile,ail,aile
hayatına,hayatına,hayat
saygı,saygı,saygı
gösterilmesini,gösterilmesini,göstermek
isteme,istem,İstem
hakkına,hakkına,Hak
sahiptir,sahiptir,sahip
.,.,.
Özel,özel,özel
hayatın,hayatın,hayat
aile,ail,aile
hayatının,hayatının,hayat
gizliliğine,gizliliğin,giz
dokunulamaz,dokunulamaz,dokunmak
.,.,.
(,(,(
Mülga,mülga,mülga
üçüncü,üçüncü,üçüncü
cümle,cümle,cümle
:,:,:
3/10/2001-4709/5,3/10/2001-4709/5,3/10/2001-4709/5
md,md,Md
.,.,.
),),)
(,(,(
…,…,…
),),)
(,(,(
Değişik,değişik,değişik
:,:,:
3/10/2001-4709/5,3/10/2001-4709/5,3/10/2001-4709/5
md,md,Md
.,.,.
),),)
Millî,millî,millî
güvenlik,güvenlik,güvenlik
",",",",","
kamu,kamu,kamu
düzeni,düzeni,düzmek
",",",",","
suç,suç,suç
işlenmesinin,işlenmesinin,iş
önlenmesi,önlenmesi,ön
",",",",","
genel,genel,genelmek
sağlık,sağlık,sağlık
genel,genel,genelmek
ahlâkın,ahlâkın,ahlak
korunması,korunması,korunması
başkalarının,başkalarının,başka
hak,hak,Hak
özgürlüklerinin,özgürlüklerinin,özgür
korunması,korunması,korunması
sebeplerinden,sebeplerinden,sebep
birkaçına,birkaçına,birkaç
bağlı,bağlı,bağ
olarak,olarak,olarak
",",",",","
usulüne,usulün,usul
göre,göre,göre
verilmiş,verilmiş,verilmiş
hâkim,hâkim,hâkim
kararı,kararı,karar
olmadıkça,olmadıkça,olmak
;,;,;
yine,yine,yine
sebeplere,sebepler,sebep
bağlı,bağlı,bağ
olarak,olarak,olarak
gecikmesinde,gecikmesind,gecikmek
sakınca,sakınca,sakınca
bulunan,bulunan,bulmak
hallerde,hallerd,hal
kanunla,kanunla,Kanun
yetkili,yetkili,yetkili
kılınmış,kılınmış,kıl
merciin,merciin,merciin
yazılı,yazılı,yazılı
emri,emri,emir
bulunmadıkça,bulunmadıkça,bulmak
;,;,;
kimsenin,kimsenin,kimse
üstü,üstü,üst
",",",",","
özel,özel,özel
kâğıtları,kâğıtları,kâğıt
eşyası,eşyası,eşya
aranamaz,aranamaz,aramak
bunlara,bunlara,bu
el,el,el
konulamaz,konulamaz,konmak
.,.,.
Yetkili,yetkili,yetkili
merciin,merciin,merciin
kararı,kararı,karar
yirmidört,yirmidört,yirmidört
saat,saat,saat
içinde,içind,iç
görevli,görevli,görev
hâkimin,hâkimin,hâkim
onayına,onayına,Onay
sunulur,sunulur,sunmak
.,.,.
Hâkim,hâkim,hâkim
",",",",","
kararını,kararını,karar
el,el,el
koymadan,koymadan,koymak
itibaren,itibaren,itibaren
kırksekiz,kırksekiz,kırksekiz
saat,saat,saat
içinde,içind,iç
açıklar,açıklar,Açık
;,;,;
aksi,aksi,akis
halde,hald,hal
",",",",","
el,el,el
koyma,koyma,koymak
kendiliğinden,kendiliğinden,kendiliğinden
kalkar,kalkar,kalkmak
.,.,.
(,(,(
Ek,ek,ekmek
fıkra,fıkra,fıkra
:,:,:
7/5/2010-5982/2,7/5/2010-5982/2,7/5/2010-5982/2
md,md,Md
.,.,.
),),)
Herkes,herk,herkes
",",",",","
kendisiyle,kendisiyl,kendi
ilgili,ilgili,ilgi
kişisel,kişisel,kişisel
verilerin,verilerin,veri
korunmasını,korunmasını,korunmasını
isteme,istem,İstem
hakkına,hakkına,Hak
sahiptir,sahiptir,sahip
.,.,.
hak,hak,Hak
;,;,;
kişinin,kişinin,kişi
kendisiyle,kendisiyl,kendi
ilgili,ilgili,ilgi
kişisel,kişisel,kişisel
veriler,veril,veri
hakkında,hakkında,Hak
bilgilendirilme,bilgilendirilm,bilgi
",",",",","
verilere,veriler,veri
erişme,erişm,erişmek
",",",",","
bunların,bunların,bu
düzeltilmesini,düzeltilmesini,düzelmek
silinmesini,silinmesini,silinmek
talep,talep,talep
etme,etm,etmek
amaçları,amaçları,amaç
doğrultusunda,doğrultusunda,doğrultu
kullanılıp,kullanılıp,kul
kullanılmadığını,kullanılmadığını,kul
öğrenmeyi,öğrenmeyi,öğrenmek
kapsar,kapsar,kapsamak
.,.,.
Kişisel,kişisel,kişisel
veriler,veril,veri
",",",",","
ancak,ancak,ancak
kanunda,kanunda,Kanun
öngörülen,öngörülen,öngörmek
hallerde,hallerd,hal
kişinin,kişinin,kişi
açık,açık,Açık
rızasıyla,rızasıyla,rıza
işlenebilir,işlenebilir,iş
.,.,.
Kişisel,kişisel,kişisel
verilerin,verilerin,veri
korunmasına,korunmasına,korunmasına
ilişkin,ilişkin,ilişki
esas,esa,esas
usuller,usul,usul
kanunla,kanunla,Kanun
düzenlenir,düzenlenir,düzmek
.,.,.
B.,b.,B
Konut,konut,konut
dokunulmazlığı,dokunulmazlığı,dokumak
MADDE,madd,madde
21-,21-,21-
(,(,(
Değişik,değişik,değişik
:,:,:
3/10/2001-4709/6,3/10/2001-4709/6,3/10/2001-4709/6
md,md,Md
.,.,.
),),)
Kimsenin,kimsenin,kimse
konutuna,konutuna,konut
dokunulamaz,dokunulamaz,dokunmak
.,.,.
Millî,millî,millî
güvenlik,güvenlik,güvenlik
",",",",","
kamu,kamu,kamu
düzeni,düzeni,düzmek
",",",",","
suç,suç,suç
işlenmesinin,işlenmesinin,iş
önlenmesi,önlenmesi,ön
",",",",","
genel,genel,genelmek
sağlık,sağlık,sağlık
genel,genel,genelmek
ahlâkın,ahlâkın,ahlak
korunması,korunması,korunması
başkalarının,başkalarının,başka
hak,hak,Hak
özgürlüklerinin,özgürlüklerinin,özgür
korunması,korunması,korunması
sebeplerinden,sebeplerinden,sebep
birkaçına,birkaçına,birkaç
bağlı,bağlı,bağ
olarak,olarak,olarak
usulüne,usulün,usul
göre,göre,göre
verilmiş,verilmiş,verilmiş
hâkim,hâkim,hâkim
kararı,kararı,karar
olmadıkça,olmadıkça,olmak
;,;,;
yine,yine,yine
sebeplere,sebepler,sebep
bağlı,bağlı,bağ
olarak,olarak,olarak
gecikmesinde,gecikmesind,gecikmek
sakınca,sakınca,sakınca
bulunan,bulunan,bulmak
hallerde,hallerd,hal
kanunla,kanunla,Kanun
yetkili,yetkili,yetkili
kılınmış,kılınmış,kıl
merciin,merciin,merciin
yazılı,yazılı,yazılı
emri,emri,emir
bulunmadıkça,bulunmadıkça,bulmak
;,;,;
kimsenin,kimsenin,kimse
konutuna,konutuna,konut
girilemez,girilemez,girilemez
",",",",","
arama,arama,ara
yapılamaz,yapılamaz,yapmak
buradaki,buradaki,bura
eşyaya,eşyaya,eşya
el,el,el
konulamaz,konulamaz,konmak
.,.,.
Yetkili,yetkili,yetkili
merciin,merciin,merciin
kararı,kararı,karar
yirmidört,yirmidört,yirmidört
saat,saat,saat
içinde,içind,iç
görevli,görevli,görev
hâkimin,hâkimin,hâkim
onayına,onayına,Onay
sunulur,sunulur,sunmak
.,.,.
Hâkim,hâkim,hâkim
",",",",","
kararını,kararını,karar
el,el,el
koymadan,koymadan,koymak
itibaren,itibaren,itibaren
kırksekiz,kırksekiz,kırksekiz
saat,saat,saat
içinde,içind,iç
açıklar,açıklar,Açık
;,;,;
aksi,aksi,akis
halde,hald,hal
",",",",","
el,el,el
koyma,koyma,koymak
kendiliğinden,kendiliğinden,kendiliğinden
kalkar,kalkar,kalkmak
.,.,.
C.,c.,C
Haberleşme,haberleşm,haberleşmek
hürriyeti,hürriyeti,hürriyet
MADDE,madd,madde
22-,22-,22-
(,(,(
Değişik,değişik,değişik
:,:,:
3/10/2001-4709/7,3/10/2001-4709/7,3/10/2001-4709/7
md,md,Md
.,.,.
),),)
Herkes,herk,herkes
",",",",","
haberleşme,haberleşm,haberleşmek
hürriyetine,hürriyetin,hürriyet
sahiptir,sahiptir,sahip
.,.,.
Haberleşmenin,haberleşmenin,haberleşmek
gizliliği,gizliliği,giz
esastır,esastır,esas
.,.,.
Millî,millî,millî
güvenlik,güvenlik,güvenlik
",",",",","
kamu,kamu,kamu
düzeni,düzeni,düzmek
",",",",","
suç,suç,suç
işlenmesinin,işlenmesinin,iş
önlenmesi,önlenmesi,ön
",",",",","
genel,genel,genelmek
sağlık,sağlık,sağlık
genel,genel,genelmek
ahlâkın,ahlâkın,ahlak
korunması,korunması,korunması
başkalarının,başkalarının,başka
hak,hak,Hak
özgürlüklerinin,özgürlüklerinin,özgür
korunması,korunması,korunması
sebeplerinden,sebeplerinden,sebep
birkaçına,birkaçına,birkaç
bağlı,bağlı,bağ
olarak,olarak,olarak
usulüne,usulün,usul
göre,göre,göre
verilmiş,verilmiş,verilmiş
hâkim,hâkim,hâkim
kararı,kararı,karar
olmadıkça,olmadıkça,olmak
;,;,;
yine,yine,yine
sebeplere,sebepler,sebep
bağlı,bağlı,bağ
olarak,olarak,olarak
gecikmesinde,gecikmesind,gecikmek
sakınca,sakınca,sakınca
bulunan,bulunan,bulmak
hallerde,hallerd,hal
kanunla,kanunla,Kanun
yetkili,yetkili,yetkili
kılınmış,kılınmış,kıl
merciin,merciin,merciin
yazılı,yazılı,yazılı
emri,emri,emir
bulunmadıkça,bulunmadıkça,bulmak
;,;,;
haberleşme,haberleşm,haberleşmek
engellenemez,engellenemez,engellemek
gizliliğine,gizliliğin,giz
dokunulamaz,dokunulamaz,dokunmak
.,.,.
Yetkili,yetkili,yetkili
merciin,merciin,merciin
kararı,kararı,karar
yirmidört,yirmidört,yirmidört
saat,saat,saat
içinde,içind,iç
görevli,görevli,görev
hâkimin,hâkimin,hâkim
onayına,onayına,Onay
sunulur,sunulur,sunmak
.,.,.
Hâkim,hâkim,hâkim
",",",",","
kararını,kararını,karar
kırksekiz,kırksekiz,kırksekiz
saat,saat,saat
içinde,içind,iç
açıklar,açıklar,Açık
;,;,;
aksi,aksi,akis
halde,hald,hal
",",",",","
karar,karar,kararmak
kendiliğinden,kendiliğinden,kendiliğinden
kalkar,kalkar,kalkmak
.,.,.
İstisnaların,i̇stisnaların,i̇stisnaların
uygulanacağı,uygulanacağı,uygulamak
kamu,kamu,kamu
kurum,kurum,kurum
kuruluşları,kuruluşları,kuruluş
kanunda,kanunda,Kanun
belirtilir,belirtilir,belirmek
.,.,.
V.,v.,V
Yerleşme,yerleşm,yer
seyahat,seyahat,seyahat
hürriyeti,hürriyeti,hürriyet
MADDE,madd,madde
23-,23-,23-
Herkes,herk,herkes
",",",",","
yerleşme,yerleşm,yer
seyahat,seyahat,seyahat
hürriyetine,hürriyetin,hürriyet
sahiptir,sahiptir,sahip
.,.,.
Yerleşme,yerleşm,yer
hürriyeti,hürriyeti,hürriyet
",",",",","
suç,suç,suç
işlenmesini,işlenmesini,iş
önlemek,önlemek,önlemek
",",",",","
sosyal,sosyal,sosyal
ekonomik,ekonomik,ekonomik
gelişmeyi,gelişmeyi,gelişmek
sağlamak,sağlamak,sağlamak
",",",",","
sağlıklı,sağlıklı,sağlık
düzenli,düzenli,düzmek
kentleşmeyi,kentleşmeyi,kent
gerçekleştirmek,gerçekleştirmek,gerçek
kamu,kamu,kamu
mallarını,mallarını,mal
korumak,korumak,korumak
;,;,;
Seyahat,seyahat,seyahat
hürriyeti,hürriyeti,hürriyet
",",",",","
suç,suç,suç
soruşturma,soruşturma,soruşmak
kovuşturması,kovuşturması,kovuşturmak
sebebiyle,sebebiyl,sebep
suç,suç,suç
işlenmesini,işlenmesini,iş
önlemek,önlemek,önlemek
;,;,;
Amaçlarıyla,amaçlarıyla,amaç
kanunla,kanunla,Kanun
sınırlanabilir,sınırlanabilir,sınır
.,.,.
(,(,(
Değişik,değişik,değişik
fıkra,fıkra,fıkra
:,:,:
7/5/2010-5982/3,7/5/2010-5982/3,7/5/2010-5982/3
md,md,Md
.,.,.
),),)
Vatandaşın,vatandaşın,vatandaş
yurt,yurt,Yurt
dışına,dışına,dış
çıkma,çıkma,çıkmak
hürriyeti,hürriyeti,hürriyet
",",",",","
ancak,ancak,ancak
suç,suç,suç
soruşturması,soruşturması,soruşmak
kovuşturması,kovuşturması,kovuşturmak
sebebiyle,sebebiyl,sebep
hâkim,hâkim,hâkim
kararına,kararına,karar
bağlı,bağlı,bağ
olarak,olarak,olarak
sınırlanabilir,sınırlanabilir,sınır
.,.,.
Vatandaş,vatandaş,vatandaş
sınır,sınır,sınır
dışı,dışı,dış
edilemez,edilemez,edilemez
yurda,yurda,yurt
girme,girm,girmek
hakkından,hakkından,Hak
yoksun,yoksun,yoksun
bırakılamaz,bırakılamaz,bırakmak
.,.,.
VI,vi,vi
.,.,.
Din,din,dinmek
vicdan,vicdan,vicdan
hürriyeti,hürriyeti,hürriyet
MADDE,madd,madde
24-,24-,24-
Herkes,herk,herkes
",",",",","
vicdan,vicdan,vicdan
",",",",","
dinî,dinî,din
inanç,inanç,inanç
kanaat,kanaat,kanaat
hürriyetine,hürriyetin,hürriyet
sahiptir,sahiptir,sahip
.,.,.
14,14,14
üncü,üncü,ün
madde,madd,madde
hükümlerine,hükümlerin,hüküm
aykırı,aykırı,aykırı
olmamak,olmamak,olmak
şartıyla,şartıyla,şart
ibadet,ibadet,ibadet
",",",",","
dinî,dinî,din
âyin,âyin,ayin
törenler,törenler,Töre
serbesttir,serbesttir,serbest
.,.,.
Kimse,kims,kim
",",",",","
ibadete,ibadet,ibadet
",",",",","
dinî,dinî,din
âyin,âyin,ayin
törenlere,törenler,tören
katılmaya,katılmaya,katmak
",",",",","
dinî,dinî,din
inanç,inanç,inanç
kanaatlerini,kanaatlerini,kanaat
açıklamaya,açıklamaya,açıklamak
zorlanamaz,zorlanamaz,zorlamak
;,;,;
dinî,dinî,din
inanç,inanç,inanç
kanaatlerinden,kanaatlerinden,kanaat
dolayı,dolayı,dolay
kınanamaz,kınanamaz,kınamak
suçlanamaz,suçlanamaz,suçlamak
.,.,.
Din,din,dinmek
ahlâk,ahlâk,ahlak
eğitim,eğitim,eğitim
öğretimi,öğretimi,öğretim
Devletin,devletin,devlet
gözetim,gözetim,gözetim
denetimi,denetimi,denet
altında,altında,altı
yapılır,yapılır,yapmak
.,.,.
Din,din,dinmek
kültürü,kültürü,kültür
ahlâk,ahlâk,ahlak
öğretimi,öğretimi,öğretim
ilk,ilk,ilk
ortaöğretim,ortaöğretim,ortaöğretim
kurumlarında,kurumlarında,kurum
okutulan,okutulan,okumak
zorunlu,zorunlu,zorunlu
dersler,dersler,ders
arasında,arasında,ara
yer,yer,yermek
alır,alır,alır
.,.,.
Bunun,bunun,bu
dışındaki,dışındaki,dış
din,din,dinmek
eğitim,eğitim,eğitim
öğretimi,öğretimi,öğretim
ancak,ancak,ancak
",",",",","
kişilerin,kişilerin,kişi
kendi,kendi,kendi
isteğine,isteğin,istek
",",",",","
küçüklerin,küçüklerin,Küçük
kanunî,kanunî,kanunî
temsilcisinin,temsilcisinin,temsilci
talebine,talebin,talep
bağlıdır,bağlıdır,bağ
.,.,.
Kimse,kims,kim
",",",",","
Devletin,devletin,devlet
sosyal,sosyal,sosyal
",",",",","
ekonomik,ekonomik,ekonomik
",",",",","
siyasî,siyasî,siyasî
hukukî,hukukî,hukukî
temel,temel,temel
düzenini,düzenini,düzmek
kısmen,kısmen,kısmen
olsa,olsa,olmak
",",",",","
din,din,dinmek
kurallarına,kurallarına,kural
dayandırma,dayandırma,dayanmak
siyasî,siyasî,siyasî
